timestamp_ms	memory_used_mib
3	119
561	202
1123	3316
1690	6092
2248	6102
2886	6108
3443	6112
4005	6116
4589	6120
5155	6122
5745	6126
6315	6128
6897	6132
7524	6134
8256	6138
8835	6140
9396	6142
9961	6144
12335	6146
12907	6148
13584	6150
14185	6152
14782	6154
15385	6156
16223	6158
16786	6160
17343	6160
17897	6160
18461	6160
19037	6160
19603	6160
20206	6160
20847	6160
21424	6160
22096	6160
22695	6160
23286	6160
23845	6160
24419	6160
24996	6160
25568	6160
26138	6160
26756	6160
27403	6160
28030	6160
28624	6160
29232	6160
29841	6160
30479	210
