timestamp_ms	memory_used_mib
1	119
561	202
1120	3320
1678	4256
2234	4266
2965	4270
3527	4274
4087	4278
4663	4282
5228	4284
5811	4288
6377	4290
6933	4294
7503	4296
8110	4300
8707	4302
11268	4304
11851	4306
12416	4308
12980	4310
13545	4312
14109	4314
14671	4316
15232	4318
15806	4320
16370	4322
16938	4324
17548	4324
18111	4324
18667	4324
19224	4324
19795	4324
20353	4324
20919	4324
21536	4324
22105	4324
22676	4324
23265	4324
23840	4324
24425	4324
24982	4324
25564	4324
26127	4324
26738	4324
27305	4324
27893	4324
28452	4324
29056	4324
29624	4324
30292	214
